日期和時間,流量(車輛/小時),車速(公里/小時),密度(車輛/公里)
970215 2000,5100,81.6871,15.6083
970215 2005,5136,81.215,15.8099
970215 2010,4968,81.9662,15.1526
970215 2015,4524,79.5252,14.2219
970215 2020,4908,79.5477,15.4247
970215 2025,5316,81.3521,16.3364
970215 2030,5328,81.1802,16.4079
970215 2035,4920,82.9512,14.828
970215 2040,4572,84.8845,13.4654
970215 2045,5340,84.1146,15.8712
970215 2050,5700,81.5074,17.4831
970215 2055,5700,81.5074,17.4831
970215 2100,5448,78.7621,17.2926
970215 2105,5160,83.1326,15.5174
970215 2110,4344,83.2873,13.0392
970215 2115,5784,77.3963,18.6831
970215 2120,4620,81.7896,14.1216
970215 2125,5088,83.5118,15.2314
970215 2130,4068,85.2596,11.9283
970215 2135,5328,83.3333,15.984
970215 2140,4788,84.4211,14.1789
970215 2145,4860,86.3704,14.0673
970215 2150,4212,87.0028,12.1031
970215 2155,4212,87.0028,12.1031
970215 2200,3924,86.7859,11.3037
970215 2205,4596,84.3655,13.6193
970215 2210,3816,85.6824,11.1341
970215 2215,4296,78.7961,13.6301
970215 2220,4464,82.0968,13.5937
970215 2225,4608,82.6302,13.9416
970215 2230,3816,83.5566,11.4174
970215 2235,3768,85.8312,10.975
970215 2240,4644,84.6667,13.7126
970215 2245,3924,86.7859,11.3037
970215 2250,3204,87.2734,9.1781
970215 2255,3204,87.2734,9.1781
970215 2300,3312,86.3659,9.5871
970215 2305,3576,85.5638,10.4483
970215 2310,2856,86.2605,8.2773
970215 2315,3120,86.5,9.0173
970215 2320,3012,89.0199,8.4588
970215 2325,2652,90.2986,7.3423
970215 2330,2652,88.2624,7.5117
970215 2335,2376,91.3232,6.5044
970215 2340,2256,90.4096,6.2383
970215 2345,2196,87.2295,6.2937
970215 2350,2292,90.9738,6.2985
970215 2355,1992,91.9036,5.4187
970216 0000,1836,91.5359,5.0144
970216 0005,1716,90.1049,4.7611
970216 0010,1776,90.2703,4.9186
970216 0015,1860,89.4581,5.198
970216 0020,1800,88.9,5.0619
970216 0025,1620,91.0963,4.4458
970216 0030,1572,89.9237,4.3704
970216 0035,1248,91.0096,3.4282
970216 0040,1440,88.0667,4.0878
970216 0045,1056,91.875,2.8735
970216 0050,1332,91.2162,3.6507
970216 0055,1332,91.2162,3.6507
970216 0100,1212,93.3762,3.2449
970216 0105,1164,88.732,3.2795
970216 0110,1044,89.7816,2.9071
970216 0115,1056,90.75,2.9091
970216 0120,996,92.9759,2.6781
970216 0125,984,92.6341,2.6556
970216 0130,936,92.141,2.5396
970216 0135,888,90.5946,2.4505
970216 0140,756,88.1111,2.145
970216 0145,1020,90.2824,2.8245
970216 0150,1020,90.2824,2.8245
970216 0155,1416,92.7966,3.8148
970216 0230,576,91.7708,1.5691
970216 0235,708,88.322,2.004
970216 0240,660,88.9818,1.8543
970216 0245,660,88.9818,1.8543
970216 0250,780,90.4462,2.156
970216 0255,840,92.2,2.2777
970216 0300,576,86.1042,1.6724
970216 0305,600,94.06,1.5947
970216 0310,528,91.3182,1.4455
970216 0315,612,92.3529,1.6567
970216 0320,396,84.5758,1.1705
970216 0325,492,89.1951,1.379
970216 0330,624,91.6923,1.7013
970216 0335,504,90.4286,1.3934
970216 0340,540,89.1111,1.515
970216 0345,480,87.5,1.3714
970216 0350,384,90.9063,1.056
970216 0355,384,90.9063,1.056
970216 0400,492,90.8537,1.3538
970216 0405,480,92.025,1.304
970216 0410,480,91.025,1.3183
970216 0415,564,89.0426,1.5835
970216 0420,384,87.8125,1.0932
970216 0425,504,91.881,1.3713
970216 0430,384,85.1875,1.1269
970216 0435,552,88.9565,1.5513
970216 0440,420,83.7429,1.2538
970216 0445,396,87.5455,1.1308
970216 0450,516,92.4419,1.3955
970216 0455,516,92.4419,1.3955
970216 0500,456,88.8158,1.2836
970216 0505,540,89.2,1.5135
970216 0510,648,88.6296,1.8278
970216 0515,660,88.9455,1.8551
970216 0520,744,88.5645,2.1002
970216 0525,744,91.2903,2.0375
970216 0530,960,88.55,2.7103
970216 0535,888,92.3649,2.4035
970216 0540,804,88.7164,2.2656
970216 0545,960,89.825,2.6719
970216 0550,972,89.7037,2.7089
970216 0555,972,89.7037,2.7089
970216 0600,948,88.8228,2.6682
970216 0605,1068,90.1124,2.963
970216 0610,1344,89.5357,3.7527
970216 0615,1536,92.0703,4.1707
970216 0620,1812,91.0927,4.973
970216 0625,1896,90.2975,5.2493
970216 0630,2052,90.6784,5.6574
970216 0635,2412,89.9751,6.7019
970216 0640,2904,89.5083,8.111
970216 0645,2820,92.2894,7.639
970216 0650,3048,87.6969,8.689
970216 0655,3048,87.6969,8.689
970216 0700,3864,74.8882,12.8992
970216 0705,3612,87.1794,10.358
970216 0710,3708,87.5437,10.589
970216 0715,4908,86.8826,14.1225
970216 0720,4800,83.165,14.4291
970216 0725,4716,82.0051,14.3772
970216 0730,4368,86.206,12.6673
970216 0735,4752,83.2348,14.2729
970216 0740,4140,77.3246,13.3851
970216 0745,4620,76.6156,15.0753
970216 0750,3876,85.5325,11.329
970216 0755,3876,85.5325,11.329
970216 0800,4284,75.3193,14.2195
970216 0805,4392,82.0219,13.3867
970216 0810,5496,80.7511,17.0152
970216 0815,4680,81.1872,14.4111
970216 0820,4992,80.8942,15.4276
970216 0825,4560,85.0474,13.4043
970216 0830,5292,77.4853,17.0742
970216 0835,4860,81.6593,14.8789
970216 0840,4752,81.9242,14.5012
970216 0845,4944,82.818,14.9243
970216 0850,5364,79.4027,16.8886
970216 0855,5364,79.4027,16.8886
970216 0900,5436,78.9205,17.2199
970216 0905,4584,84.2304,13.6055
970216 0910,5280,79.9795,16.5042
970216 0915,5424,84.5177,16.044
970216 0920,4968,84.1014,14.7679
970216 0925,4992,81.226,15.3645
970216 0930,5664,74.2648,19.0669
970216 0935,5568,81.8944,16.9975
970216 0940,5448,83.489,16.3135
970216 0945,5556,82.5896,16.8181
970216 0950,5892,79.9878,18.4153
970216 0955,5892,79.9878,18.4153
970216 1000,5856,78.3299,18.6902
970216 1005,6132,81.1076,18.9008
970216 1010,5844,78.1191,18.7022
970216 1015,5748,79.8038,18.0067
970216 1020,6336,74.2481,21.3339
970216 1025,6048,77.9425,19.3989
970216 1030,6204,82.5338,18.7923
970216 1035,5820,80.8103,18.0051
970216 1040,7056,72.932,24.1869
970216 1045,6732,74.7201,22.524
970216 1050,6684,78.386,21.3176
970216 1055,6684,78.386,21.3176
970216 1100,6504,76.238,21.3279
970216 1105,6612,74.4537,22.2017
970216 1110,6972,72.568,24.0189
970216 1115,6912,74.3299,23.2477
970216 1120,7140,74.2218,24.0495
970216 1125,6324,75.129,21.0438
970216 1130,6996,71.8611,24.3386
970216 1135,7152,72.2315,24.7537
970216 1140,7260,72.3273,25.0943
970216 1145,7320,74.4262,24.5881
970216 1150,7284,74.2043,24.5404
970216 1155,7284,74.2043,24.5404
970216 1200,6612,75.5064,21.8922
970216 1205,6192,78.8934,19.6214
970216 1210,6084,82.4675,18.4436
970216 1215,6108,80.6346,18.9373
970216 1220,5844,81.6776,17.8874
970216 1225,5412,83.9579,16.1152
970216 1230,5940,82.7556,17.9444
970216 1235,5748,80.618,17.8248
970216 1240,5544,81.5498,16.9958
970216 1245,4956,84.4116,14.6781
970216 1250,4476,87.2064,12.8316
970216 1255,4476,87.2064,12.8316
970216 1300,5160,80.3721,16.0503
970216 1305,6228,79.0096,19.7065
970216 1310,6372,80.3145,19.8345
970216 1315,6144,78.5176,19.5625
970216 1320,6744,74.4964,22.632
970216 1325,6936,75.7837,22.8809
970216 1330,6312,82.5076,19.1255
970216 1335,6408,76.8315,20.8508
970216 1340,6336,82.3106,19.2442
970216 1345,6804,75.545,22.5164
970216 1350,6168,78.2296,19.7112
970216 1355,6168,78.2296,19.7112
970216 1400,6732,75.9893,22.1479
970216 1405,6492,76.5896,21.1909
970216 1410,6840,75.9807,22.5057
970216 1415,6708,80.0787,20.9419
970216 1420,7032,68.4505,25.6828
970216 1425,6144,77.2754,19.877
970216 1430,6924,74.6378,23.192
970216 1435,6564,77.3729,21.209
970216 1440,5628,64.2665,21.8932
970216 1445,5652,40.1146,35.224
970216 1450,6588,67.5537,24.3806
970216 1455,6588,67.5537,24.3806
970216 1500,6612,76.5227,21.6014
970216 1505,6480,75.2926,21.5161
970216 1510,6696,76.0358,22.0159
970216 1515,6600,77.3618,21.3284
970216 1520,6252,80.4568,19.4266
970216 1525,6360,80.7981,19.6787
970216 1530,6204,79.6074,19.4831
970216 1535,6492,77.5416,20.9307
970216 1540,6840,74.2105,23.0426
970216 1545,6000,80.304,18.679
970216 1550,6696,77.086,21.716
970216 1555,6696,77.086,21.716
970216 1600,7044,77.0068,22.8681
970216 1605,6528,77.3015,21.1121
970216 1610,6192,78.686,19.6731
970216 1615,6456,77.9535,20.7046
970216 1620,6348,79.3743,19.9939
970216 1625,6324,73.7097,21.449
970216 1630,6180,79.4097,19.4561
970216 1635,6324,75.9127,20.8266
970216 1640,6660,78.1892,21.2945
970216 1645,5904,76.7602,19.2287
970216 1650,6768,80.7819,20.9453
970216 1655,6768,80.7819,20.9453
970216 1700,6768,75.0408,22.5477
970216 1705,6036,76.1909,19.8055
970216 1710,5928,80.8462,18.3311
970216 1715,6168,78.5973,19.619
970216 1720,6840,77.5123,22.061
970216 1725,6960,78.4724,22.1734
970216 1730,6900,77.9687,22.1243
970216 1735,6912,76.7014,22.5289
970216 1740,6216,78.8475,19.7089
970216 1745,7380,74.2862,24.8364
970216 1750,6876,75.5969,22.739
970216 1755,6876,75.5969,22.739
970216 1800,6924,77.1404,22.4396
970216 1805,6060,81.1426,18.6708
970216 1810,6612,77.9891,21.1953
970216 1815,6312,78.7091,20.0485
970216 1820,6300,76.2457,20.6569
970216 1825,5496,69.7904,19.6875
970216 1830,6600,68.8855,23.9528
970216 1835,5436,77,17.6494
970216 1840,6084,76.6036,19.8555
970216 1845,6420,75.0879,21.375
970216 1850,5940,76.8222,19.3303
970216 1855,5940,76.8222,19.3303
970216 1900,4956,81.4044,15.2203
970216 1905,4596,82.4386,13.9376
970216 1910,5280,81.5023,16.1959
970216 1915,5136,82.8131,15.5048
970216 1920,4968,81.9082,15.1633
970216 1925,4656,86.0026,13.5345
970216 1930,4476,83.0268,13.4776
970216 1935,4764,83.2015,14.3146
970216 1940,5148,73.4033,17.5333
970216 1945,4740,82.6051,14.3454
970216 1950,4800,81.4025,14.7416
970216 1955,4800,81.4025,14.7416
970216 2000,4416,84.1033,13.1267
970216 2005,3924,82.0642,11.9541
970216 2010,4416,79.356,13.912
970216 2015,4692,79.9719,14.6677
970216 2020,5292,79.8776,16.5629
970216 2025,4788,79.1153,15.1298
970216 2030,4368,82.8297,13.1837
970216 2035,4980,83.0964,14.9826
970216 2040,5148,78.9557,16.3003
970216 2045,4812,80.3192,14.9777
970216 2050,4944,85.5194,14.4529
970216 2055,4944,85.5194,14.4529
970216 2100,5100,82.1859,15.5136
970216 2105,4272,82.5337,12.9402
970216 2110,4944,79.7718,15.4942
970216 2115,4536,84.4101,13.4344
970216 2120,4512,79.1543,14.2507
970216 2125,5916,74.3651,19.8884
970216 2130,4296,80.824,13.2881
970216 2135,4380,80.3041,13.6357
970216 2140,5040,81.8976,15.3851
970216 2145,4872,82.8744,14.6969
970216 2150,4212,83.1111,12.6698
970216 2155,6192,79.5659,19.4556
970216 2200,4344,83.5304,13.0013
970216 2205,4560,83.4658,13.6583
970216 2210,4884,83.0737,14.6978
970216 2215,4368,85.239,12.811
970216 2220,4152,84.052,12.3495
970216 2225,5112,81.4554,15.6896
970216 2230,3960,84.7273,11.6845
970216 2235,4956,83.2809,14.8774
970216 2240,4752,79.7071,14.9046
970216 2245,4680,75.2538,15.5474
970216 2250,4980,81.4771,15.2804
970216 2255,4980,81.4771,15.2804
970216 2300,3276,85.7985,9.5456
970216 2305,3636,86.5347,10.5045
970216 2310,3348,89.2939,9.3735
970216 2315,3048,87.4488,8.7137
970216 2320,3096,90.1047,8.59
970216 2325,3504,87.2123,10.0445
970216 2330,2928,86.3811,8.4741
970216 2335,2424,88,6.8864
970216 2340,2532,86.2512,7.339
970216 2345,2736,87.807,7.7898
970216 2350,2520,89.4952,7.0395
970216 2355,2520,89.4952,7.0395
970219 0000,1416,93.7881,3.7745
970219 0005,1524,88.874,4.287
970219 0010,1092,91.9341,2.9695
970219 0015,1068,93.573,2.8534
970219 0020,996,94.6627,2.6304
970219 0025,1248,92,3.3913
970219 0030,1068,92.0449,2.9008
970219 0035,1128,91.0638,3.0967
970219 0040,1188,95.8687,3.098
970219 0045,948,89.3924,2.6512
970219 0050,840,93.2286,2.2525
970219 0055,888,94.9459,2.3382
970219 0100,624,92.1731,1.6925
970219 0105,588,92.4694,1.5897
970219 0110,648,91.7593,1.7655
970219 0115,576,90,1.6
970219 0120,552,92.3913,1.4936
970219 0125,624,91.4808,1.7053
970219 0130,660,92.2182,1.7892
970219 0135,348,93.7586,0.9279
970219 0140,540,92.8667,1.4537
970219 0220,504,92.7619,1.3583
970219 0225,336,92.6786,0.9064
970219 0235,576,90.8333,1.5853
970219 0240,612,93.8431,1.6304
970219 0245,564,94.3404,1.4946
970219 0250,492,91.4634,1.3448
970219 0255,408,95.6176,1.0667
970219 0300,396,91.0909,1.0868
970219 0305,384,92.5625,1.0371
970219 0310,444,91.973,1.2069
970219 0315,516,90.6279,1.4234
970219 0320,468,92.4103,1.2661
970219 0325,360,87.9667,1.0231
970219 0330,480,91.4,1.3129
970219 0335,456,92.2105,1.2363
970219 0340,252,90.9048,0.693
970219 0345,360,86.1333,1.0449
970219 0350,312,94.3077,0.8271
970219 0355,360,91.1333,0.9876
970219 0400,348,92,0.9457
970219 0405,432,90.3889,1.1948
970219 0410,360,92.8667,0.9691
970219 0415,312,91.8462,0.8492
970219 0420,360,91.8667,0.9797
970219 0425,372,90.6452,1.026
970219 0430,312,91.6923,0.8507
970219 0435,372,90.7742,1.0245
970219 0440,324,92.2222,0.8783
970219 0445,324,90.8519,0.8916
970219 0450,552,90,1.5333
970219 0455,552,90,1.5333
970219 0500,516,91,1.4176
970219 0505,468,92.7436,1.2615
970219 0510,516,90.7907,1.4209
970219 0515,744,92.2097,2.0171
970219 0520,696,94.3793,1.8436
970219 0525,792,91.5606,2.1625
970219 0530,780,92.9846,2.0971
970219 0535,924,92.7013,2.4919
970219 0540,828,89.7391,2.3067
970219 0545,972,93.284,2.6049
970219 0550,1140,90.9789,3.1326
970219 0555,1140,90.9789,3.1326
970219 0600,1380,89.8261,3.8408
970219 0605,1656,90.529,4.5731
970219 0610,1848,93.1494,4.9598
970219 0615,1980,90.7939,5.4519
970219 0620,2148,91.5307,5.8669
970219 0625,2820,90.2,7.816
970219 0630,2868,89.5021,8.011
970219 0635,3552,88.6892,10.0125
970219 0640,3912,86.4693,11.3104
970219 0645,4320,86.1806,12.5318
970219 0650,5124,83.6112,15.3209
970219 0655,5496,76.7511,17.902
970219 0700,6528,74.6287,21.8683
970219 0705,5988,71.0741,21.0625
970219 0710,6708,68.1467,24.6087
970219 0715,6588,68.8925,23.9068
970219 0720,6540,72.011,22.7049
970219 0725,6912,59.1875,29.1954
970219 0730,7392,56.7078,32.5881
970219 0735,6804,64.619,26.3235
970219 0740,7284,61.8682,29.4335
970219 0745,6852,51.5604,33.2232
970219 0750,7272,49.698,36.5809
970219 0755,7272,49.698,36.5809
970219 0800,5808,26.6942,54.3938
970219 0805,6216,29.1795,53.2565
970219 0810,7536,26.4156,71.3215
970219 0815,5100,28.6447,44.5108
970219 0820,6552,31,52.8387
970219 0825,5904,32.7642,45.0491
970219 0830,7488,32.3798,57.8138
970219 0835,7680,35.0469,54.7838
970219 0840,7092,41.9357,42.279
970219 0845,6504,38.1624,42.6074
970219 0850,7464,37.6334,49.5836
970219 0855,7464,37.6334,49.5836
970219 0900,7128,35.7862,49.7957
970219 0905,7128,49.2475,36.1846
970219 0910,6408,46.3652,34.5518
970219 0915,6720,44.0036,38.1787
970219 0920,6936,47.5242,36.4867
970219 0925,6828,46.4587,36.7423
970219 0930,6288,44.729,35.145
970219 0935,6084,39.8639,38.1548
970219 0940,6216,45.8533,33.8907
970219 0945,6204,44.9903,34.4741
970219 0950,6744,44.5907,37.8105
970219 0955,6744,44.5907,37.8105
970219 1000,5280,58.1409,22.7035
970219 1005,5808,56.6446,25.6335
970219 1010,6396,52.6229,30.386
970219 1015,6684,47.1041,35.4746
970219 1020,5400,31.68,42.6136
970219 1025,4980,26.894,46.2929
970219 1030,5772,27.5114,52.4509
970219 1035,6096,26.9882,56.4691
970219 1040,5916,28.6613,51.6028
970219 1045,6204,27.7273,55.9377
970219 1050,6312,36.6806,43.02
970219 1055,6312,36.6806,43.02
970219 1100,6504,52.0996,31.2094
970219 1105,6240,54.7154,28.5112
970219 1110,7020,55.2598,31.7591
970219 1115,7368,57.1107,32.2531
970219 1120,5052,77.6485,16.2656
970219 1125,4704,79.0587,14.875
970219 1130,5292,79.3832,16.666
970219 1135,4704,85.5867,13.7404
970219 1140,4992,83.5072,14.9448
970219 1145,4728,81.3909,14.5225
970219 1150,4692,83.2327,14.093
970219 1155,4692,83.2327,14.093
970219 1200,4752,81.0732,14.6534
970219 1205,4824,84.3358,14.3
970219 1210,5292,82.4807,16.0401
970219 1215,4680,86.0769,13.5925
970219 1220,5136,82.278,15.6056
970219 1225,4032,85.5327,11.785
970219 1230,5040,78.1952,16.1135
970219 1235,4608,83.2839,13.8322
970219 1240,6192,81.5174,18.9898
970219 1245,4548,85.0343,13.3711
970219 1250,5760,84.3333,17.0751
970219 1255,5760,84.3333,17.0751
970219 1300,5964,78.336,19.0334
970219 1305,5112,84.3967,15.1428
970219 1310,5508,80.658,17.0721
970219 1315,5508,81.5033,16.895
970219 1320,5244,82.4256,15.9052
970219 1325,5964,76.4225,19.51
970219 1330,6144,79.7949,19.2493
970219 1335,6060,78.9109,19.1989
970219 1340,6516,79.3646,20.5255
970219 1345,5556,77.3996,17.9458
970219 1350,5892,78.8656,18.6773
970219 1355,5892,78.8656,18.6773
970219 1400,6324,70.9355,22.2879
970219 1405,5820,74.3979,19.557
970219 1410,5976,73.498,20.3271
970219 1415,6096,74.7165,20.3971
970219 1420,6708,62.4508,26.8531
970219 1425,5772,68.9605,20.925
970219 1430,5856,70.1148,20.8801
970219 1435,5592,71.1137,19.6586
970219 1440,6084,69.9822,21.7341
970219 1445,5400,69.0511,19.5507
970219 1450,5616,72.5662,19.3478
970219 1455,5616,72.5662,19.3478
970219 1500,5460,66.1231,20.6433
970219 1505,5964,70.4044,21.1776
970219 1510,5100,68.5647,18.5956
970219 1515,5748,72.7704,19.7471
970219 1520,5184,75.8148,17.0943
970219 1525,4788,75.787,15.7943
970219 1530,5568,71.1638,19.5605
970219 1535,5760,67.6792,21.2769
970219 1540,5784,73.1515,19.7672
970219 1545,5796,68.7619,21.0727
970219 1550,6024,72.9741,20.6375
970219 1555,6024,72.9741,20.6375
970219 1600,5796,72.2112,20.0661
970219 1605,6108,73.9096,20.6604
970219 1610,5808,71.688,20.2544
970219 1615,6036,69.9384,21.5761
970219 1620,6168,73.9086,20.8636
970219 1625,6324,71.1898,22.2083
970219 1630,5508,74.9804,18.3648
970219 1635,5904,76.9329,19.1855
970219 1640,5820,79.3485,18.3368
970219 1645,6336,68.4432,23.1433
970219 1650,5520,76.5804,18.0203
970219 1655,5520,76.5804,18.0203
970219 1700,6132,78.0372,19.6445
970219 1705,5904,73.2195,20.1586
970219 1710,6492,73.7763,21.9989
970219 1715,6780,76.0496,22.2881
970219 1720,6780,78.1239,21.6963
970219 1725,6492,77.7819,20.866
970219 1730,7068,77.2173,22.8835
970219 1735,6168,76.8813,20.0569
970219 1740,6228,80.1233,19.4325
970219 1745,6132,80.9883,18.9287
970219 1750,5856,80.6598,18.1503
970219 1755,5856,80.6598,18.1503
970219 1800,6264,78.5785,19.9291
970219 1805,5520,80.1783,17.2116
970219 1810,6252,75.6603,20.6581
970219 1815,5904,79.1138,18.6567
970219 1820,5724,75.7484,18.8915
970219 1825,6084,76.0888,19.9898
970219 1830,5316,72.8804,18.2354
970219 1835,5688,76.2785,18.6422
970219 1840,4932,80.0779,15.3975
970219 1845,5220,82.3724,15.8427
970219 1850,5112,83.2183,15.3572
970219 1855,5112,83.2183,15.3572
970219 1900,4848,81.6931,14.836
970219 1905,5472,81.3026,16.826
970219 1910,4884,81.86,14.9157
970219 1915,4572,85.0997,13.4313
970219 1920,4404,83.9591,13.1135
970219 1925,4572,80.8688,14.134
970219 1930,4284,84.2689,12.7093
970219 1935,4224,84.2415,12.5354
970219 1940,4896,82.1765,14.8948
970219 1945,4200,82.7343,12.6912
970219 1950,4560,79.0421,14.4227
970219 1955,4560,79.0421,14.4227
970219 2000,4236,81.0057,13.0732
970219 2005,3720,89.8323,10.3526
970219 2010,4416,83.4239,13.2336
970219 2015,4452,84.469,13.1764
970219 2020,4152,88.159,11.7742
970219 2025,3720,87.3806,10.6431
970219 2030,4344,86.7459,12.5193
970219 2035,4176,87.4971,11.9318
970219 2040,3900,86.5815,11.2611
970219 2045,3900,87.6338,11.1258
970219 2050,4224,85.233,12.3896
970219 2055,4224,85.233,12.3896
970219 2100,4044,87.3739,11.571
970219 2105,3828,79.7241,12.0039
970219 2110,3564,88.2222,10.0995
970219 2115,3744,87.7179,10.6706
970219 2120,3216,89.4851,8.9847
970219 2125,3480,89.4276,9.7285
970219 2130,3456,87.6667,9.8555
970219 2135,3660,86.7016,10.5534
970219 2140,3300,87.3709,9.4425
970219 2145,3444,88.6899,9.708
970219 2150,3456,86.8924,9.9433
970219 2155,3456,86.8924,9.9433
970219 2200,3468,91.3114,9.495
970219 2205,3600,88.36,10.1856
970219 2210,3540,90.2203,9.8093
970219 2215,3432,88.4371,9.7018
970219 2220,3624,90.0033,10.0663
970219 2225,3096,86.0349,8.9964
970219 2230,3060,90.7451,8.4302
970219 2235,2676,90.4036,7.4001
970219 2240,3168,90.072,8.793
970219 2245,2520,90.7952,6.9387
970219 2250,2352,90.1633,6.5215
970219 2255,2352,90.1633,6.5215
970219 2300,2160,91.5833,5.8963
970219 2305,1848,91.0974,5.0715
970219 2310,2028,91.929,5.5151
970219 2315,1800,92.8067,4.8488
970219 2320,1692,89.0709,4.749
970219 2325,2100,92.7086,5.6629
970219 2330,1704,91.838,4.6386
970219 2335,1788,91.9396,4.8619
970219 2340,1968,91.0915,5.4012
970219 2345,1704,90.6479,4.6995
970219 2350,1512,93.9048,4.0254
970219 2355,1512,93.9048,4.0254
970220 0000,1380,92.9565,3.7114
970220 0005,1380,90.5652,3.8094
970220 0010,1164,90.6289,3.2109
970220 0015,1272,94.0849,3.3799
970220 0020,1380,93.1826,3.7024
970220 0025,1320,96.0182,3.4368
970220 0030,1128,93.5213,3.0154
970220 0035,948,93.5823,2.5325
970220 0040,804,94.2985,2.1315
970220 0045,996,91.988,2.7069
970220 0050,888,92.1351,2.4095
970220 0055,888,92.1351,2.4095
970220 0100,720,93.6,1.9231
970220 0105,768,93.375,2.0562
970220 0110,684,93.5088,1.8287
970220 0115,672,93.4464,1.7978
970220 0120,624,92.6154,1.6844
970220 0125,624,89.8077,1.737
970220 0130,576,92.3542,1.5592
970220 0135,492,94.2927,1.3044
970220 0140,552,93.8696,1.4701
970220 0145,504,95.5476,1.3187
970220 0150,588,95.8367,1.5339
970220 0155,588,95.8367,1.5339
970220 0200,516,93.0698,1.3861
970220 0205,552,91.6522,1.5057
970220 0210,636,94.6226,1.6804
970220 0215,564,91.5532,1.5401
970220 0220,480,91.25,1.3151
970220 0225,444,95.4865,1.1625
970220 0230,480,92.375,1.2991
970220 0235,612,94.6667,1.6162
970220 0240,420,98.8857,1.0618
970220 0245,420,98.8857,1.0618
970220 0255,600,92.12,1.6283
970220 0300,576,89.25,1.6134
970220 0305,432,93.5556,1.1544
970220 0310,504,87.6667,1.4373
970220 0315,372,89.6129,1.0378
970220 0320,420,90.8857,1.1553
970220 0325,444,88.9459,1.2479
970220 0330,468,90.9231,1.2868
970220 0335,420,88.6857,1.184
970220 0340,420,90.6571,1.1582
970220 0345,420,88.2,1.1905
970220 0350,396,91.0909,1.0868
970220 0355,396,91.0909,1.0868
970220 0400,300,91.04,0.8238
970220 0405,396,88.0606,1.1242
970220 0410,228,85.7368,0.6648
970220 0415,336,88.8214,0.9457
970220 0420,396,85.9394,1.152
970220 0425,384,89.0313,1.0783
970220 0430,324,89.4074,0.906
970220 0435,432,89.8056,1.2026
970220 0440,252,87.7619,0.7179
970220 0445,348,88.5517,0.9825
970220 0450,348,89.8621,0.9682
970220 0455,348,89.8621,0.9682
970220 0500,420,90.9429,1.1546
970220 0505,492,89.8293,1.3693
970220 0510,420,88,1.1932
970220 0515,600,89.48,1.6764
970220 0520,576,88.9583,1.6187
970220 0525,828,90.3333,2.2915
970220 0530,696,92.5172,1.8807
970220 0535,780,86.5692,2.2525
970220 0540,960,90.475,2.6527
970220 0545,1236,88.2621,3.5009
970220 0550,1056,91.0568,2.8993
970220 0555,1056,91.0568,2.8993
970220 0600,1428,89.8655,3.9726
970220 0605,1764,90.1769,4.8904
970220 0610,1836,89.2614,5.1422
970220 0615,1752,91.7123,4.7758
970220 0620,2172,91.7569,5.9178
970220 0625,2388,91.6533,6.5137
970220 0630,3468,90.7405,9.5547
970220 0635,3420,90.0386,9.4959
970220 0640,4464,81.0269,13.7732
970220 0645,4944,84.165,14.6854
970220 0650,6024,78.7749,19.1178
970220 0655,6024,78.7749,19.1178
970220 0700,5976,80.1004,18.6516
970220 0705,7248,73.9023,24.5189
970220 0710,7080,73.778,23.9909
970220 0715,6984,76.4381,22.842
970220 0720,7116,69.6661,25.5361
970220 0725,8268,60.045,34.4242
970220 0730,7428,55.4798,33.4716
970220 0735,7608,43.1688,44.0596
970220 0740,7080,44.3475,39.9121
970220 0745,7932,46.1936,42.928
970220 0750,7632,55.7186,34.2435
970220 0755,7632,55.7186,34.2435
970220 0800,6576,41.3796,39.7298
970220 0805,7068,46.1613,38.2788
970220 0810,7188,42.0851,42.6992
970220 0815,6168,55.8833,27.5932
970220 0820,5196,81.485,15.9416
970220 0825,5172,76.0673,16.9981
970220 0830,5184,82.037,15.7977
970220 0835,4908,86.7433,14.1452
970220 0840,6492,75.4381,21.5143
970220 0845,7584,69.1313,27.4261
970220 0850,6852,69.6515,24.5939
970220 0855,6852,69.6515,24.5939
970220 0900,6516,69.1565,23.5553
970220 0905,6360,61.3623,25.9117
970220 0910,6672,51.1817,32.5898
970220 0915,5760,43.0563,33.4446
970220 0920,6432,43.0224,37.3759
970220 0925,6780,58.1947,29.1264
970220 0930,7128,53.4815,33.3199
970220 0935,7008,54.5257,32.1316
970220 0940,6612,57.9546,28.5223
970220 0945,6516,58.2228,27.9787
970220 0950,6792,55.8975,30.377
970220 0955,6792,55.8975,30.377
970220 1000,6204,72.1663,21.492
970220 1005,5580,75.0387,18.5904
970220 1010,4644,82.3798,14.0933
970220 1015,5040,77.6952,16.2172
970220 1020,4932,81.7372,15.0849
970220 1025,5616,79.3568,17.6922
970220 1030,5244,72.3524,18.1196
970220 1035,5124,81.3747,15.742
970220 1040,5364,79.5884,16.8492
970220 1045,4884,84.6044,14.4319
970220 1050,4740,84.3494,14.0487
970220 1055,4740,84.3494,14.0487
970220 1100,4476,83.7346,13.3637
970220 1105,5316,75.5982,17.5798
970220 1110,5064,75.1754,16.8406
970220 1115,5160,80.114,16.1021
970220 1120,4428,83.6721,13.2302
970220 1125,5436,78.4128,17.3314
970220 1130,5364,79.5078,16.8663
970220 1135,5316,77.3002,17.1927
970220 1140,5736,76.5105,18.7425
970220 1145,5112,81.6197,15.658
970220 1150,4452,84.3666,13.1924
970220 1155,4452,84.3666,13.1924
970220 1200,5148,79.5618,16.1761
